"time","median","q025","q975","variable"
50,7.4936506320934e-07,-6.59374563366585e-10,0.162545266774311,"I2"
51,4.01901555749198e-07,-3.66744734647805e-10,0.106019510637305,"I2"
0,0,0,0,"R1"
1,23.0553317043052,19.1643897080147,29.5674056546706,"R1"
2,58.6623091288581,39.8651195079444,103.416946005306,"R1"
3,116.799730953306,58.4956342980376,282.912740832778,"R1"
4,203.478986570476,75.5020442481962,757.135280982566,"R1"
5,340.643642076262,90.9359762411391,1978.08669172172,"R1"
6,539.101448462964,104.727429284557,4772.94631146294,"R1"
7,818.889875570763,116.840510750194,10442.1969120229,"R1"
8,1208.7641594188,127.298428950614,19749.2228450343,"R1"
9,1730.71484560338,136.179095269302,31331.2323118518,"R1"
10,2400.73033290921,143.597558627662,42256.3976275025,"R1"
11,3218.91409458624,149.69428640154,50553.5574563528,"R1"
12,4162.29941707522,154.624017581984,56014.5106628562,"R1"
13,5188.96171126589,158.545942351248,59307.1484829658,"R1"
14,6284.49104165726,161.615648554723,61170.3048768731,"R1"
15,7496.74830410867,163.97904971661,62200.0369874691,"R1"
16,8895.09543302756,165.768297583632,62754.7454837467,"R1"
17,10290.8011233747,167.099443968773,63045.9579824415,"R1"
18,11560.1875157321,168.07165162492,63193.4993736365,"R1"
19,12810.6072093205,168.767524600844,63263.632116249,"R1"
20,13712.6582562313,169.254277630503,63292.4360113579,"R1"
21,14347.4400815468,169.585407911791,63299.3417244354,"R1"
22,14855.6998064371,169.802611640218,63294.72382971,"R1"
23,15563.2173043124,169.937743447859,63284.080858811,"R1"
24,16147.1930040003,170.014676771036,63270.307713068,"R1"
25,16486.6848380677,170.050975974488,63254.9189410516,"R1"
26,16717.4502685464,170.059334756353,63238.702144976,"R1"
27,16886.2847662948,170.048768307506,63222.0644835712,"R1"
28,17007.524867555,170.025571967765,63205.2152240645,"R1"
29,17092.9164595212,169.994070383721,63188.2613102241,"R1"
30,17151.7902386718,169.957186997582,63171.2570868461,"R1"
31,17235.1242701881,169.916867480374,63154.2300160573,"R1"
32,17299.7709373147,169.87438546693,63137.1938987099,"R1"
33,17345.7409854788,169.830564004498,63120.1556322297,"R1"
34,17377.7066535853,169.785925874534,63103.1186450324,"R1"
35,17399.2905515341,169.740798562007,63086.0846319774,"R1"
36,17413.2609191594,169.695384684132,63069.0544260831,"R1"
37,17421.7051933428,169.649806882778,63052.0284339277,"R1"
38,17426.1781762458,169.604139307925,63035.0068533792,"R1"
39,17427.8246186528,169.558425000305,63017.9897791623,"R1"
40,17427.478165673,169.512690233376,63000.9772567702,"R1"
41,17425.7395270695,169.466949659002,62983.969306947,"R1"
42,17423.0371799691,169.421211587177,62966.9659392088,"R1"
43,17419.6737565617,169.375480040601,62949.9671573508,"R1"
44,17415.860920977,169.329757849599,62932.9729623421,"R1"
45,17411.745348799,169.284046399513,62915.9833541143,"R1"
46,17407.4277259076,169.238346556051,62898.9983319658,"R1"
47,17402.9765406097,169.19265880197,62882.0178949302,"R1"
48,17398.4379598735,169.146983192483,62865.0420419139,"R1"
